date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
2013-09-28,Argentina,New Zealand,15,33,2013 Rugby Championship,Estadio Único,La Plata,Argentina,False,False
2013-09-28,South Africa,Australia,28,8,2013 Rugby Championship,Newlands Stadium,Cape Town,South Africa,False,False
2013-10-05,South Africa,New Zealand,27,38,2013 Rugby Championship,Ellis Park,Johannesburg,South Africa,False,False
2013-10-05,Argentina,Australia,17,54,2013 Rugby Championship,Gigante de Arroyito,Rosario,Argentina,False,False
2013-10-19,New Zealand,Australia,41,33,2013 Autumn International,Forsyth Barr Stadium,Dunedin,New Zealand,False,False
2013-11-02,England,Australia,20,13,2013 Autumn International,Twickenham Stadium,London,England,False,False
2013-11-09,Wales,South Africa,15,24,2013 end-of-year test,Millennium Stadium,Cardiff,Wales,False,False
2013-11-09,France,New Zealand,19,26,2013 end-of year test,Stade de France,Saint-Denis,France,False,False
2013-11-09,Italy,Australia,20,50,2013 Autumn International,Stadio Olimpico di Torino,Turin,Italy,False,False
2013-11-09,England,Argentina,31,12,2013 Autumn International,Twickenham,London,England,False,False
2013-11-16,Wales,Argentina,40,6,2013 Autumn International,Millennium Stadium,Cardiff,Wales,False,False
2013-11-16,Ireland,Australia,15,32,2013 Autumn International,Lansdowne Road,Dublin,Ireland,False,False
2013-11-16,England,New Zealand,22,30,2013 Autumn International,Twickenham,London,England,False,False
2013-11-17,Scotland,South Africa,0,28,2013 Autumn International,Murrayfield,Edinburgh,Scotland,False,False
2013-11-23,France,South Africa,10,19,2013 end-of-year test,Stade de France,Saint-Denis,France,False,False
2013-11-23,Italy,Argentina,14,19,2013 end of year test,Stadio Olimpico,Rome,Italy,False,False
2013-11-23,Scotland,Australia,15,21,2013 Autumn International,Murrayfield Stadium,Edinburgh,Scotland,False,False
2013-11-24,Ireland,New Zealand,22,24,2013 Autumn International,Aviva Stadium,Dublin,Ireland,False,False
2013-11-30,Wales,Australia,26,30,2013 Autumn International,Millennium Stadium,Cardiff,Wales,False,False
2014-02-01,Wales,Italy,23,15,2014 Six Nations,Millennium Stadium,Cardiff,Wales,False,False
2014-02-01,France,England,26,24,2014 Six Nations Championship,Stade de France,Saint-Denis,France,False,False
2014-02-02,Ireland,Scotland,28,6,2014 Six Nations Championship,Aviva Stadium,Dublin,Ireland,False,False
2014-02-08,Ireland,Wales,26,3,2014 Six Nations Championship,Aviva Stadium,Dublin,Ireland,False,False
2014-02-08,Scotland,England,0,20,2014 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
2014-02-09,France,Italy,30,10,2014 Six Nations Championship,Stade de France,Saint-Denis,France,False,False
2014-02-21,Wales,France,27,6,2014 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False
2014-02-22,Italy,Scotland,20,21,2014 Six Nations Championship,Stadio Olimpico,Rome,Italy,False,False
2014-02-22,England,Ireland,13,10,2014 Six Nations Championship,Twickenham,London,England,False,False
2014-03-08,Scotland,France,17,19,2014 Six Nations Championship,Murrayfield,Edinburgh,Scotland,False,False
2014-03-08,Ireland,Italy,46,7,2014 Six Nations Championship,Aviva Stadium,Dublin,Ireland,False,False
2014-03-09,England,Wales,29,18,2014 Six Nations Championship,Twickenham,London,England,False,False
2014-03-15,Italy,England,11,52,2014 Six Nations Championship,Stadio Olimpico,Rome,Italy,False,False
2014-03-15,Wales,Scotland,51,3,2014 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False
2014-03-15,France,Ireland,20,22,2014 Six Nations Championship,Stade de France,Saint-Denis,France,False,False
2014-06-07,Argentina,Ireland,17,29,2014 Ireland rugby union tour of Argentina,Estadio Centenario,Resistencia,Argentina,False,False
2014-06-07,New Zealand,England,20,15,2014 England rugby union tour of New Zealand,Eden Park,Auckland,New Zealand,False,False
2014-06-07,Australia,France,50,23,2014 France tour of Australia,Lang Park,Brisbane,Australia,False,False
2014-06-14,Australia,France,6,0,2014 France tour of Australia,Docklands Stadium,Melbourne,Australia,False,False
2014-06-14,New Zealand,England,28,27,2014 England rugby union tour of New Zealand,Forsyth Barr Stadium,Dunedin,New Zealand,False,False
2014-06-14,Argentina,Ireland,17,23,2014 Ireland rugby union tour of Argentina,Estadio Monumental José Fierro,Tucumán,Argentina,False,False
2014-06-14,South Africa,Wales,38,16,2014 Wales tour of South Africa,Kings Park,Durban,South Africa,False,False
2014-06-21,Australia,France,39,13,2014 France tour of Australia,Sydney Football Stadium,Sydney,Australia,False,False
2014-06-21,South Africa,Wales,31,30,2014 Wales tour of South Africa,Mbombela Stadium,Nelspruit,South Africa,False,False
